"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Filter by valid status returns only tasks with that status","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByStatus_returnsOnlyMatchingTasks"
"","38","Filter by valid priority returns only tasks with that priority","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByPriority_returnsOnlyMatchingTasks"
"","91","Task list response contains items matching task schema","Surefire suite","Sat Mar 14 20:38:42 UTC 2026","failed","Sat Mar 14 20:38:42 UTC 2026","com.taskflow.tests.api.TaskSchemaValidationTest","Surefire test","com.taskflow.tests.api.TaskSchemaValidationTest","getTaskList_itemsMatchJsonSchema"
"","57","Filter by valid status returns only tasks with that status","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByStatus_returnsOnlyMatchingTasks"
"","643","Created task shows the correct priority badge","Surefire suite","Sat Mar 14 20:39:09 UTC 2026","passed","Sat Mar 14 20:39:10 UTC 2026","com.taskflow.tests.ui.DashboardUiTest","Surefire test","com.taskflow.tests.ui.DashboardUiTest","createTask_withCriticalPriority_showsCorrectBadge"
"","198","POST /api/tasks returns stubbed 201 with location header","Surefire suite","Sat Mar 14 20:38:42 UTC 2026","passed","Sat Mar 14 20:38:43 UTC 2026","com.taskflow.tests.api.WireMockContractTest","Surefire test","com.taskflow.tests.api.WireMockContractTest","createTaskStub_returns201WithLocationHeader"
"","27","Filter by valid priority returns only tasks with that priority","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByPriority_returnsOnlyMatchingTasks"
"","51","GET /tasks returns HTTP 200 and a JSON array","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","getAllTasks_returnsOkAndArray"
"","935","Deleting a task removes it from the table","Surefire suite","Sat Mar 14 20:39:13 UTC 2026","passed","Sat Mar 14 20:39:14 UTC 2026","com.taskflow.tests.ui.DashboardUiTest","Surefire test","com.taskflow.tests.ui.DashboardUiTest","deleteTask_removesItFromTable"
"","34","DELETE /tasks/{id} returns 404 for non-existent task","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","deleteTask_whenNotExists_returns404"
"","120","GET /tasks/{id} returns a single task when it exists","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","getTaskById_whenExists_returnsTask"
"","108","Simulates server 500 error and validates client handles it gracefully","Surefire suite","Sat Mar 14 20:38:43 UTC 2026","passed","Sat Mar 14 20:38:43 UTC 2026","com.taskflow.tests.api.WireMockContractTest","Surefire test","com.taskflow.tests.api.WireMockContractTest","getTasksStub_serverError_returns500"
"","126","Search by existing keyword returns matching tasks","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","searchTasks_byExistingKeyword_returnsMatches"
"","30","GET /api/tasks returns stubbed 200 response","Surefire suite","Sat Mar 14 20:38:43 UTC 2026","passed","Sat Mar 14 20:38:43 UTC 2026","com.taskflow.tests.api.WireMockContractTest","Surefire test","com.taskflow.tests.api.WireMockContractTest","getTasksStub_returns200WithTaskArray"
"","116","PATCH /tasks/{id}/status updates only the status","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","patchTaskStatus_toInProgress_updatesStatusOnly"
"","831","Deleting a task decrements the total stats counter","Surefire suite","Sat Mar 14 20:39:12 UTC 2026","passed","Sat Mar 14 20:39:13 UTC 2026","com.taskflow.tests.ui.DashboardUiTest","Surefire test","com.taskflow.tests.ui.DashboardUiTest","deleteTask_decrementsStatCounter"
"","59","PATCH /tasks/{id}/status with invalid value returns 400","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","patchTaskStatus_withInvalidStatus_returns400"
"","22","PUT /tasks/{id} returns 404 for non-existent task","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","updateTask_whenNotExists_returns404"
"","94","PUT /tasks/{id} updates all fields successfully","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","updateTask_withValidData_returns200WithUpdatedFields"
"","31","Create task with invalid status returns 400","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withInvalidStatus_returns400"
"","31","Create task with null title returns 400","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withNullTitle_returns400"
"","425","Task form with empty title does not submit (HTML5 required)","Surefire suite","Sat Mar 14 20:39:10 UTC 2026","passed","Sat Mar 14 20:39:11 UTC 2026","com.taskflow.tests.ui.DashboardUiTest","Surefire test","com.taskflow.tests.ui.DashboardUiTest","createTask_withEmptyTitle_doesNotSubmit"
"","53","Filter by valid status returns only tasks with that status","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByStatus_returnsOnlyMatchingTasks"
"","246","Stats total equals sum of individual status counts","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","getStats_totalEqualsSum"
"","680","GET /tasks/stats returns all expected counters","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","getStats_returnsAllCounterKeys"
"","37","Search is case-insensitive","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","searchTasks_caseInsensitive_returnsMatches"
"","22","Search with no matches returns empty array (not 404)","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","searchTasks_noMatches_returnsEmptyArray"
"","686","Creating a task via the form adds it to the task table","Surefire suite","Sat Mar 14 20:39:08 UTC 2026","passed","Sat Mar 14 20:39:08 UTC 2026","com.taskflow.tests.ui.DashboardUiTest","Surefire test","com.taskflow.tests.ui.DashboardUiTest","createTask_viaForm_appearsInTable"
"","8","GET /api/tasks/{id} for unknown ID returns stubbed 404","Surefire suite","Sat Mar 14 20:38:43 UTC 2026","passed","Sat Mar 14 20:38:43 UTC 2026","com.taskflow.tests.api.WireMockContractTest","Surefire test","com.taskflow.tests.api.WireMockContractTest","getTaskByIdStub_whenNotFound_returns404"
"","11","Dashboard loads with the correct page title","Surefire suite","Sat Mar 14 20:39:11 UTC 2026","passed","Sat Mar 14 20:39:11 UTC 2026","com.taskflow.tests.ui.DashboardUiTest","Surefire test","com.taskflow.tests.ui.DashboardUiTest","dashboard_pageTitle_isCorrect"
"","1176","Creating a task increments the total and TODO stats","Surefire suite","Sat Mar 14 20:39:06 UTC 2026","passed","Sat Mar 14 20:39:07 UTC 2026","com.taskflow.tests.ui.DashboardUiTest","Surefire test","com.taskflow.tests.ui.DashboardUiTest","createTask_incrementsStatCounters"
"","32","Filter by valid priority returns only tasks with that priority","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByPriority_returnsOnlyMatchingTasks"
"","132","Create a task with all valid fields","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withValidData_returns201AndTask"
"","74","Create task with only required fields (title, status, priority)","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withMinimalFields_returns201"
"","23","Create task with title exceeding 200 characters returns 400","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withTitleOver200Chars_returns400"
"","232","DELETE /tasks/{id} removes the task and returns 204","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","deleteTask_whenExists_returns204AndTaskIsGone"
"","28","GET /tasks/{id} returns 404 for non-existent task","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","getTaskById_whenNotExists_returns404"
"","39","Filter by valid status returns only tasks with that status","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByStatus_returnsOnlyMatchingTasks"
"","386","Filter by valid priority returns only tasks with that priority","Surefire suite","Sat Mar 14 20:38:38 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByPriority_returnsOnlyMatchingTasks"
"","39","Create task with a blank title returns 400","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withBlankTitle_returns400"
"","352","Single task response matches expected JSON schema","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:42 UTC 2026","com.taskflow.tests.api.TaskSchemaValidationTest","Surefire test","com.taskflow.tests.api.TaskSchemaValidationTest","getSingleTask_matchesJsonSchema"
